iter	MultiClass	TotalF1:average=Micro
176	1.452203657	0.4912853483
177	1.451836245	0.4913355769
178	1.451379742	0.4914862625
179	1.449999429	0.4919885479
180	1.449562727	0.4921392335
181	1.44867989	0.4926917475
182	1.44794891	0.4924908333
183	1.447632252	0.4926415189
184	1.446957811	0.4927922045
185	1.446389219	0.4929931187
186	1.445448466	0.4930433472
187	1.444828675	0.4932442614
188	1.444688838	0.4930433472
189	1.444369165	0.4932442614
190	1.444159494	0.4933447185
191	1.442730927	0.493394947
192	1.442451205	0.4935456326
193	1.442084997	0.4937465468
194	1.44124974	0.4941986036
195	1.440888997	0.4944497463
196	1.440794047	0.4944497463
197	1.440254427	0.4943995178
198	1.440012503	0.4944999749
199	1.439346885	0.4947511176
200	1.439240974	0.4949018032
201	1.438986144	0.4948013461
202	1.438563972	0.4953036315
203	1.437689003	0.4952031744
204	1.436468085	0.4952031744
205	1.436178531	0.4953538601
206	1.435876004	0.495253403
207	1.435251724	0.4952031744
208	1.43459495	0.4955547742
209	1.434475465	0.4956552313
210	1.433850681	0.4957054598
211	1.433596749	0.4957556884
212	1.43306302	0.4958561455
213	1.432700078	0.4960570596
214	1.43188507	0.4962077452
215	1.431687201	0.4964086594
216	1.431482862	0.4968104877
217	1.431202521	0.4967602592
218	1.43007315	0.496559345
219	1.42981653	0.4970616304
220	1.429528836	0.4967602592
221	1.428814059	0.4970114019
222	1.428368241	0.4971620875
223	1.428136562	0.4975136873
224	1.427824578	0.4975639158
225	1.427394754	0.4973127731
226	1.426556903	0.4975639158
227	1.426298706	0.4975136873
228	1.42598021	0.4976141444
229	1.424585491	0.4985684866
230	1.424149844	0.4985182581
231	1.423987559	0.4985684866
232	1.42342833	0.4987694008
233	1.423198896	0.4986689437
234	1.422914792	0.4987191722
235	1.422504053	0.4989200864
236	1.422085155	0.4989200864
237	1.421817653	0.4991712291
238	1.421613361	0.4992716862
239	1.420393484	0.4999748857
240	1.419840045	0.4998242001
241	1.419488408	0.4999246572
242	1.41941861	0.4999246572
243	1.418883756	0.4996735145
244	1.418576353	0.4996735145
245	1.418229282	0.4997739716
246	1.416922198	0.5004771711
247	1.416843328	0.5004269426
248	1.416638966	0.5003264855
249	1.416117949	0.5007283138
250	1.415882075	0.5010799136
251	1.415583626	0.5008789994
252	1.415351852	0.5005776282
253	1.415153391	0.5007283138
254	1.415014489	0.5007283138
255	1.414264572	0.5007283138
256	1.41390818	0.5011301421
257	1.413843792	0.5011301421
258	1.413384407	0.5016826561
259	1.412935173	0.5017328846
260	1.412798204	0.5017831132
261	1.412578576	0.5020342559
262	1.412436724	0.5021347129
263	1.412090297	0.5021849415
264	1.411031779	0.5024360842
265	1.410703112	0.5025365413
266	1.410487515	0.5025867698
267	1.410351072	0.5026872269
268	1.410017403	0.5030890552
269	1.409485536	0.5029885981
270	1.409307798	0.5030890552
271	1.408933008	0.5031895123
272	1.408532648	0.5031895123
273	1.40748961	0.5030388267
274	1.406989607	0.5030890552
275	1.406130681	0.5038424833
276	1.405568777	0.5038927118
277	1.405503469	0.5037922548
278	1.404986109	0.5039931689
279	1.404429516	0.5045959114
280	1.403723834	0.5046963685
281	1.402159932	0.5043949972
282	1.401249307	0.5045456829
283	1.401076268	0.5044954543
284	1.400810183	0.5047968256
285	1.400333058	0.5045959114
286	1.399771618	0.5050479683
287	1.399611988	0.5052488824
288	1.399163183	0.5048972826
289	1.398339117	0.5054497966
290	1.398186256	0.5056507107
291	1.397476827	0.5058013964
292	1.397243275	0.5056004822
293	1.396751196	0.5054497966
294	1.396451515	0.5056507107
295	1.396233015	0.505299111
296	1.395255567	0.5059018534
297	1.394935955	0.505952082
298	1.394712162	0.5059018534
299	1.394029939	0.5062032247
